"Trial","Bath","TempF","TempC","Location","Species","Pred","Pulex.surv","Simo.surv"
"1","1",77,25,"1","Pulex","Y",53,NA
"1","1",77,25,"2","Comp","N",71,7
"1","2",64.4,18,"1","Comp","N",64,21
"1","2",64.4,18,"2","Pulex","Y",6,NA
"1","2",64.4,18,"3","Comp","Y",253,229
"1","3",87.8,31,"2","Pulex","Y",9,NA
"1","3",87.8,31,"3","Comp","Y",10,0
"1","4",50,10,"1","Pulex","N",9,NA
"1","4",50,10,"2","Comp","N",10,41
"1","5",77,25,"1","Pulex","N",486,NA
"1","5",77,25,"3","Comp","Y",0,44
"1","6",82.4,28,"2","Pulex","Y",39,NA
"1","6",82.4,28,"3","Comp","N",120,1228
"1","7",68,20,"2","Comp","N",165,902
"1","8",59,15,"2","Pulex","Y",12,7
"1","8",59,15,"3","Comp","N",24,90
"1","9",50,10,"2","Comp","Y",5,60
"1","9",50,10,"3","Pulex","Y",0,NA
"1","10",68,20,"1","Pulex","Y",373,NA
"1","10",68,20,"2","Comp","Y",225,29
"1","10",68,20,"3","Pulex","N",8,NA
"1","11",82.4,28,"2","Pulex","N",860,NA
"1","11",82.4,28,"3","Comp","Y",34,1
"1","12",59,15,"1","Pulex","N",174,NA
"1","12",59,15,"3","Comp","Y",80,52
"1","13",64.4,18,"1","Pulex","N",169,NA
"1","14",87.8,31,"1","Pulex","N",5,NA
"1","14",87.8,31,"3","Comp","N",2,3
"1","15",71.6,22,"1","Comp","N",92,499
"1","15",71.6,22,"2","Comp","Y",6,726
"1","15",71.6,22,"3","Pulex","Y",0,NA
"1","16",71.6,22,"1","Pulex","N",49,NA
"2","1",50,10,"2","Comp","Y",18,27
"2","1",50,10,"3","Pulex","Y",54,NA
"2","2",59,15,"1","Comp","N",69,96
"2","2",59,15,"2","Pulex","Y",11,NA
"2","2",59,15,"3","Pulex","N",151,NA
"2","3",64.4,18,"1","Comp","Y",51,3
"2","3",64.4,18,"3","Comp","N",11,245
"2","4",71.6,22,"1","Pulex","N",65,NA
"2","4",71.6,22,"2","Comp","N",84,213
"2","4",71.6,22,"3","Pulex","Y",0,NA
"2","5",82.4,28,"1","Pulex","Y",7,NA
"2","5",82.4,28,"2","Comp","Y",39,30
"2","6",77,25,"1","Comp","N",50,202
"2","6",77,25,"3","Pulex","Y",12,NA
"2","7",82.4,28,"1","Pulex","N",4,NA
"2","7",82.4,28,"2","Comp","N",127,5
"2","8",87.8,31,"1","Comp","N",206,81
"2","8",87.8,31,"3","Pulex","Y",18,NA
"2","9",87.8,31,"1","Comp","Y",59,1
"2","9",87.8,31,"3","Pulex","N",294,NA
"2","10",77,25,"2","Comp","Y",66,8
"2","10",77,25,"3","Pulex","N",295,NA
"2","11",64.4,18,"1","Pulex","Y",14,NA
"2","11",64.4,18,"2","Pulex","N",22,NA
"2","12",50,10,"1","Comp","N",35,48
"2","12",50,10,"2","Pulex","N",8,NA
"2","13",68,20,"1","Pulex","Y",369,NA
"2","13",68,20,"3","Comp","Y",55,3
"2","14",68,20,"1","Pulex","N",6,NA
"2","14",68,20,"3","Comp","N",360,563
"2","15",59,15,"3","Comp","Y",120,14
"2","16",71.6,22,"1","Comp","Y",185,251
"3","1",71.6,22,"2","Pulex","N",882,NA
"3","1",71.6,22,"3","Pulex","Y",2,NA
"3","2",68,20,"1","Pulex","N",326,NA
"3","2",68,20,"2","Comp","N",374,117
"3","2",68,20,"3","Pulex","Y",24,NA
"3","3",87.8,31,"1","Pulex","Y",5,NA
"3","3",87.8,31,"2","Comp","Y",1,367
"3","4",50,10,"2","Pulex","N",6,NA
"3","4",50,10,"3","Comp","N",10,1
"3","5",59,15,"1","Pulex","N",41,NA
"3","5",59,15,"3","Pulex","Y",1,NA
"3","6",82.4,28,"1","Pulex","Y",1,NA
"3","6",82.4,28,"2","Comp","Y",51,85
"3","6",82.4,28,"3","Pulex","N",156,NA
"3","7",71.6,22,"1","Comp","Y",89,4
"3","7",71.6,22,"2","Comp","N",281,230
"3","8",77,25,"2","Pulex","N",139,NA
"3","8",77,25,"3","Comp","N",217,94
"3","9",77,25,"2","Comp","Y",224,2
"3","9",77,25,"3","Pulex","Y",236,NA
"3","10",68,20,"2","Comp","Y",248,134
"3","11",50,10,"2","Comp","Y",8,24
"3","11",50,10,"3","Pulex","Y",7,NA
"3","12",82.4,28,"3","Comp","N",234,4
"3","13",64.4,18,"1","Pulex","N",8,NA
"3","14",87.8,31,"1","Pulex","N",6,NA
"3","14",87.8,31,"2","Comp","N",2,4
"3","15",64.4,18,"1","Pulex","Y",0,NA
"3","16",59,15,"1","Comp","Y",179,12
"4","1",50,10,"1","Pulex","N",1,NA
"4","1",50,10,"2","Comp","Y",1,7
"4","1",50,10,"3","Comp","N",0,9
"4","2",82.4,28,"1","Comp","Y",0,11
"4","2",82.4,28,"3","Pulex","N",131,NA
"4","4",71.6,22,"3","Pulex","N",534,NA
"4","5",77,25,"3","Comp","Y",0,0
"4","6",87.8,31,"1","Pulex","Y",2,NA
"4","6",87.8,31,"2","Pulex","N",74,NA
"4","6",87.8,31,"3","Comp","Y",0,0
